num_lectures,price,days_since_published,content_duration
11,0,2189,1.0
25,100,1663,6.5
11,40,1798,1.0
65,95,2150,2.5
21,20,2194,2.0
69,175,1582,9.5
24,40,1834,1.5
12,30,2077,1.0
13,95,2258,1.5
71,100,2522,3.5
95,75,1815,8.5
152,200,1853,5.5
49,40,2399,4.5
19,50,2164,2.0
11,20,2175,0.6333333333333333
138,190,1964,7.5
12,80,1663,0.7333333333333333
14,20,2200,3.0
29,95,2277,2.5
61,200,1653,9.5
92,105,1591,4.0
28,100,2211,2.5
16,75,2320,2.0
16,30,1997,3.0
14,30,2159,1.5
99,80,2167,2.0
7,0,1701,1.0
15,60,1848,1.5
12,0,2256,1.0
11,50,1551,2.0
49,200,2299,4.5
100,125,2134,20.5
16,95,1965,1.0
61,75,2414,6.0
16,20,2277,1.5
36,200,2203,2.5
12,40,2261,1.0
25,50,2262,2.0
12,60,1753,1.0
42,95,2298,5.0
16,75,2083,1.5
26,20,2241,3.0
30,20,1603,2.5
8,0,2270,1.0
20,0,2363,3.0
21,0,1587,3.0
87,40,1809,10.0
13,25,2520,1.5
60,20,1863,6.5
28,50,1830,3.0
56,200,2019,11.0
161,145,1584,14.0
98,50,2082,0.5166666666666666
24,95,2494,1.5
76,150,3122,13.0
224,200,2692,28.5
17,40,2034,1.5
6,50,1613,0.5333333333333333
18,50,2459,2.0
18,20,2094,1.0
12,25,1908,1.0
10,60,3134,2.0
31,20,1779,4.0
32,25,1573,3.5
29,200,2310,2.5
45,0,3151,10.5
91,200,2444,10.0
68,20,2236,6.5
24,30,3115,4.0
25,50,1926,1.5
11,40,2005,1.0
25,105,1564,1.5
26,60,1802,0.6333333333333333
69,100,2440,10.0
37,50,2126,1.5
66,20,2461,5.5
35,60,1886,4.0
45,75,2296,4.5
53,45,2087,7.0
10,25,1772,1.0
9,40,2310,2.0
60,50,2011,13.5
29,50,1621,3.5
34,35,2320,1.0
19,25,2016,1.0
18,30,1660,2.5
34,20,1759,1.5
96,195,1844,12.5
9,100,2458,1.0
16,20,2838,3.0
16,100,1548,1.0
36,100,1715,3.0
21,200,2359,2.0
35,45,1891,1.5
83,85,1613,5.0
8,20,1954,1.0
91,60,1956,16.5
30,20,1620,2.5
25,65,2290,1.0
14,40,1596,1.0
28,95,2226,5.0
13,35,2055,1.5
9,0,2907,2.0
22,195,2243,2.0
12,25,2614,3.5
9,35,1847,0.5666666666666667
29,200,2227,1.5
23,30,2283,0.7166666666666667
66,100,1569,12.5
15,25,1697,2.5
52,30,1646,3.5
14,30,2180,2.0
13,20,2459,1.5
55,50,2992,7.5
156,195,1563,24.0
158,150,1737,17.5
35,20,2033,5.0
30,20,2306,2.0
23,50,2692,3.0
108,50,2360,7.0
192,50,2450,6.0
49,50,2388,1.0
348,200,1815,19.5
12,30,1764,0.5833333333333334
15,20,2508,1.0
7,0,1829,1.0
10,50,2412,1.0
21,25,1964,3.0
5,45,2086,1.0
105,200,1880,12.5
28,45,2527,2.5
8,120,3146,2.5
34,195,2355,2.0
15,20,1632,1.0
19,40,2202,2.5
7,200,2201,1.5
8,25,2023,0.5666666666666667
30,95,1649,3.0
16,100,3006,1.0
15,45,1702,1.0
60,200,1586,5.0
16,20,1662,1.0
24,35,1548,3.5
95,0,3395,4.5
7,0,2507,1.0
18,35,2650,1.0
10,0,1942,0.5666666666666667
48,75,1790,4.5
20,50,2129,1.5
24,0,2656,1.0
5,30,2542,0.55
32,0,1733,2.0
8,20,1778,0.6166666666666667
